order_id,order_date,order_year_month,customer_id,signup_date,signup_cohort,acquisition_channel,city,product_id,product_category,quantity,gross_amount,discount_amount,net_revenue,shipping_cost,payment_fee,total_cogs,cm2_operating_profit,discount_pct
ORD-000021,2025-11-30,2025-11,6941,2025-11-26,2025-11,Meta Ads,Bengaluru,P107,Beauty & Grooming,1,699.0,244.65,454.35,100.0,9.09,250.0,95.26000000000002,35.0
ORD-000022,2025-10-24,2025-10,5453,2025-10-03,2025-10,Influencer,Pune,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000023,2025-03-17,2025-03,2369,2025-03-05,2025-03,Paid Search,Bengaluru,P101,Electronics,1,1999.0,299.85,1699.15,60.0,33.98,1200.0,405.1700000000001,15.0
ORD-000024,2025-05-27,2025-05,3227,2025-05-24,2025-05,Paid Search,Pune,P107,Beauty & Grooming,1,699.0,244.65,454.35,100.0,9.09,250.0,95.26000000000002,35.0
ORD-000025,2025-11-18,2025-11,4613,2025-08-20,2025-08,Meta Ads,Bengaluru,P103,Fashion,1,899.0,314.65,584.35,80.0,11.69,300.0,192.66000000000003,35.0
ORD-000026,2026-03-05,2026-03,6563,2026-02-15,2026-02,Paid Search,Bengaluru,P107,Beauty & Grooming,1,699.0,174.75,524.25,60.0,10.48,250.0,203.77,25.0
ORD-000027,2025-07-09,2025-07,2060,2025-07-03,2025-07,Organic Search,Mumbai,P104,Fashion,1,1499.0,0.0,1499.0,60.0,29.98,600.0,809.02,0.0
ORD-000028,2024-10-11,2024-10,2645,2024-09-20,2024-09,Paid Search,Pune,P104,Fashion,1,1499.0,224.85,1274.15,80.0,25.48,600.0,568.6700000000001,15.0
ORD-000029,2025-03-20,2025-03,6266,2025-02-27,2025-02,Meta Ads,Bengaluru,P103,Fashion,1,899.0,224.75,674.25,80.0,13.48,300.0,280.77,25.0
ORD-000030,2024-10-21,2024-10,2812,2024-10-15,2024-10,Organic Search,Hyderabad,P102,Electronics,1,799.0,0.0,799.0,80.0,15.98,450.0,253.02,0.0
ORD-000031,2025-02-11,2025-02,3194,2025-01-08,2025-01,Meta Ads,Hyderabad,P106,Beauty & Grooming,1,499.0,124.75,374.25,60.0,7.48,150.0,156.77,25.0
ORD-000032,2025-08-16,2025-08,1168,2025-08-12,2025-08,Paid Search,Hyderabad,P103,Fashion,1,899.0,314.65,584.35,100.0,11.69,300.0,172.66000000000003,35.0
ORD-000033,2024-12-15,2024-12,8443,2024-12-05,2024-12,Paid Search,Hyderabad,P107,Beauty & Grooming,1,699.0,174.75,524.25,100.0,10.48,250.0,163.77,25.0
ORD-000034,2024-11-19,2024-11,5183,2024-09-23,2024-09,Organic Search,Mumbai,P103,Fashion,3,2697.0,134.85,2562.15,80.0,51.24,900.0,1530.91,5.0
ORD-000035,2026-05-30,2026-05,9346,2026-05-14,2026-05,Organic Search,Pune,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000036,2025-06-02,2025-06,3545,2025-04-17,2025-04,Paid Search,Mumbai,P103,Fashion,1,899.0,0.0,899.0,100.0,17.98,300.0,481.02,0.0
ORD-000037,2025-07-29,2025-07,4869,2025-07-19,2025-07,Organic Search,Bengaluru,P102,Electronics,1,799.0,0.0,799.0,60.0,15.98,450.0,273.02,0.0
ORD-000038,2026-05-05,2026-05,9507,2026-04-02,2026-04,Paid Search,Mumbai,P105,Home & Kitchen,2,1998.0,299.7,1698.3,60.0,33.97,800.0,804.3299999999999,15.0
ORD-000039,2025-06-12,2025-06,6951,2025-06-08,2025-06,Paid Search,Delhi NCR,P105,Home & Kitchen,1,999.0,349.65,649.35,60.0,12.99,400.0,176.36,35.0
ORD-000040,2025-11-22,2025-11,9915,2025-11-21,2025-11,Paid Search,Mumbai,P101,Electronics,1,1999.0,499.75,1499.25,80.0,29.98,1200.0,189.27,25.0
ORD-000041,2024-12-01,2024-12,3310,2024-10-27,2024-10,Paid Search,Pune,P102,Electronics,1,799.0,119.85,679.15,80.0,13.58,450.0,135.56999999999996,15.0
ORD-000042,2024-11-24,2024-11,7631,2024-09-18,2024-09,Meta Ads,Pune,P102,Electronics,1,799.0,279.65,519.35,60.0,10.39,450.0,-1.0399999999999778,35.0
ORD-000043,2025-09-07,2025-09,7687,2025-07-15,2025-07,Meta Ads,Pune,P107,Beauty & Grooming,1,699.0,174.75,524.25,60.0,10.48,250.0,203.77,25.0
ORD-000044,2025-08-14,2025-08,3024,2025-06-09,2025-06,Paid Search,Bengaluru,P102,Electronics,1,799.0,0.0,799.0,80.0,15.98,450.0,253.02,0.0
ORD-000045,2026-02-05,2026-02,1350,2026-01-07,2026-01,Organic Search,Mumbai,P104,Fashion,1,1499.0,74.95,1424.05,100.0,28.48,600.0,695.5699999999999,5.0
ORD-000046,2025-02-24,2025-02,10016,2025-01-02,2025-01,Paid Search,Mumbai,P102,Electronics,1,799.0,279.65,519.35,100.0,10.39,450.0,-41.03999999999998,35.0
ORD-000047,2026-04-20,2026-04,9630,2026-04-17,2026-04,Organic Search,Mumbai,P107,Beauty & Grooming,1,699.0,34.95,664.05,60.0,13.28,250.0,340.77,5.0
ORD-000048,2026-03-03,2026-03,9361,2025-12-12,2025-12,Influencer,Mumbai,P107,Beauty & Grooming,2,1398.0,0.0,1398.0,100.0,27.96,500.0,770.04,0.0
ORD-000049,2026-05-09,2026-05,8954,2026-04-21,2026-04,Paid Search,Mumbai,P107,Beauty & Grooming,1,699.0,244.65,454.35,60.0,9.09,250.0,135.26000000000002,35.0
ORD-000051,2026-04-16,2026-04,5119,2026-03-09,2026-03,Paid Search,Mumbai,P105,Home & Kitchen,1,999.0,0.0,999.0,60.0,19.98,400.0,519.02,0.0
ORD-000052,2025-02-13,2025-02,7820,2025-02-09,2025-02,Organic Search,Bengaluru,P105,Home & Kitchen,1,999.0,49.95,949.05,60.0,18.98,400.0,470.06999999999994,5.0
ORD-000053,2025-05-15,2025-05,3770,2025-04-21,2025-04,Organic Search,Bengaluru,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
ORD-000054,2024-12-28,2024-12,5500,2024-10-16,2024-10,Meta Ads,Hyderabad,P107,Beauty & Grooming,1,699.0,0.0,699.0,80.0,13.98,250.0,355.02,0.0
ORD-000055,2025-12-20,2025-12,3181,2025-12-08,2025-12,Paid Search,Delhi NCR,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000056,2025-03-31,2025-03,4346,2025-03-22,2025-03,Organic Search,Bengaluru,P105,Home & Kitchen,1,999.0,49.95,949.05,100.0,18.98,400.0,430.06999999999994,5.0
ORD-000057,2025-10-16,2025-10,3666,2025-10-16,2025-10,Paid Search,Hyderabad,P103,Fashion,1,899.0,224.75,674.25,100.0,13.48,300.0,260.77,25.0
ORD-000058,2025-08-18,2025-08,9424,2025-06-27,2025-06,Paid Search,Bengaluru,P107,Beauty & Grooming,3,2097.0,524.25,1572.75,80.0,31.46,750.0,711.29,25.0
ORD-000059,2026-07-04,2026-07,10251,2026-06-13,2026-06,Paid Search,Mumbai,P101,Electronics,1,1999.0,499.75,1499.25,60.0,29.98,1200.0,209.27,25.0
ORD-000060,2026-01-20,2026-01,3543,2026-01-12,2026-01,Influencer,Mumbai,P104,Fashion,1,1499.0,0.0,1499.0,60.0,29.98,600.0,809.02,0.0
ORD-000061,2025-09-23,2025-09,10326,2025-08-13,2025-08,Email Referral,Hyderabad,P106,Beauty & Grooming,1,499.0,49.9,449.1,60.0,8.98,150.0,230.12000000000003,10.0
ORD-000062,2026-03-25,2026-03,6441,2026-03-19,2026-03,Meta Ads,Hyderabad,P107,Beauty & Grooming,1,699.0,244.65,454.35,80.0,9.09,250.0,115.26000000000002,35.0
ORD-000063,2025-06-14,2025-06,9149,2025-04-17,2025-04,Paid Search,Delhi NCR,P101,Electronics,1,1999.0,499.75,1499.25,80.0,29.98,1200.0,189.27,25.0
ORD-000064,2025-02-08,2025-02,8111,2024-12-31,2024-12,Organic Search,Bengaluru,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
ORD-000065,2025-02-08,2025-02,4881,2025-01-27,2025-01,Meta Ads,Hyderabad,P101,Electronics,1,1999.0,0.0,1999.0,80.0,39.98,1200.0,679.02,0.0
ORD-000066,2025-12-08,2025-12,3738,2025-09-06,2025-09,Meta Ads,Bengaluru,P101,Electronics,2,3998.0,999.5,2998.5,60.0,59.97,2400.0,478.53,25.0
ORD-000067,2026-07-25,2026-07,3432,2026-06-19,2026-06,Influencer,Hyderabad,P102,Electronics,1,799.0,0.0,799.0,80.0,15.98,450.0,253.02,0.0
ORD-000068,2025-10-04,2025-10,2388,2025-09-28,2025-09,Paid Search,Pune,P107,Beauty & Grooming,1,699.0,0.0,699.0,100.0,13.98,250.0,335.02,0.0
ORD-000069,2025-10-05,2025-10,10630,2025-08-09,2025-08,Meta Ads,Hyderabad,P107,Beauty & Grooming,1,699.0,0.0,699.0,100.0,13.98,250.0,335.02,0.0
ORD-000070,2025-04-17,2025-04,4366,2025-04-01,2025-04,Organic Search,Mumbai,P107,Beauty & Grooming,3,2097.0,104.85,1992.15,80.0,39.84,750.0,1122.3100000000002,5.0
ORD-000071,2026-06-28,2026-06,10922,2026-04-22,2026-04,Influencer,Bengaluru,P106,Beauty & Grooming,1,499.0,0.0,499.0,60.0,9.98,150.0,279.02,0.0
ORD-000072,2025-07-09,2025-07,3440,2025-06-16,2025-06,Paid Search,Hyderabad,P105,Home & Kitchen,1,999.0,149.85,849.15,80.0,16.98,400.0,352.16999999999996,15.0
ORD-000073,2025-06-30,2025-06,2317,2025-06-27,2025-06,Meta Ads,Mumbai,P104,Fashion,1,1499.0,0.0,1499.0,100.0,29.98,600.0,769.02,0.0
ORD-000074,2024-12-29,2024-12,6205,2024-11-15,2024-11,Email Referral,Hyderabad,P105,Home & Kitchen,1,999.0,49.95,949.05,60.0,18.98,400.0,470.06999999999994,5.0
ORD-000075,2025-11-21,2025-11,6005,2025-11-05,2025-11,Influencer,Bengaluru,P107,Beauty & Grooming,3,2097.0,0.0,2097.0,60.0,41.94,750.0,1245.06,0.0
ORD-000076,2026-04-26,2026-04,1685,2025-12-19,2025-12,Email Referral,Bengaluru,P102,Electronics,2,1598.0,0.0,1598.0,60.0,31.96,900.0,606.04,0.0
ORD-000077,2025-10-26,2025-10,7441,2025-08-08,2025-08,Paid Search,Pune,P105,Home & Kitchen,1,999.0,149.85,849.15,60.0,16.98,400.0,372.16999999999996,15.0
ORD-000078,2024-10-10,2024-10,4088,2024-09-21,2024-09,Paid Search,Delhi NCR,P106,Beauty & Grooming,1,499.0,74.85,424.15,60.0,8.48,150.0,205.67,15.0
ORD-000079,2025-04-15,2025-04,10868,2025-04-14,2025-04,Paid Search,Bengaluru,P104,Fashion,1,1499.0,524.65,974.35,60.0,19.49,600.0,294.86,35.0
ORD-000080,2025-08-13,2025-08,3114,2025-07-10,2025-07,Influencer,Mumbai,P107,Beauty & Grooming,1,699.0,0.0,699.0,80.0,13.98,250.0,355.02,0.0
ORD-000081,2025-06-25,2025-06,1958,2025-05-10,2025-05,Paid Search,Hyderabad,P102,Electronics,2,1598.0,559.3,1038.7,100.0,20.77,900.0,17.930000000000046,35.0
ORD-000082,2024-12-23,2024-12,6779,2024-11-02,2024-11,Influencer,Pune,P103,Fashion,2,1798.0,0.0,1798.0,100.0,35.96,600.0,1062.04,0.0
ORD-000083,2026-04-25,2026-04,9080,2026-04-06,2026-04,Meta Ads,Pune,P102,Electronics,1,799.0,279.65,519.35,60.0,10.39,450.0,-1.0399999999999778,35.0
ORD-000084,2026-03-17,2026-03,7029,2026-03-11,2026-03,Organic Search,Hyderabad,P106,Beauty & Grooming,1,499.0,24.95,474.05,60.0,9.48,150.0,254.57000000000002,5.0
ORD-000085,2026-03-27,2026-03,6701,2026-02-19,2026-02,Paid Search,Bengaluru,P104,Fashion,1,1499.0,524.65,974.35,60.0,19.49,600.0,294.86,35.0
ORD-000086,2025-12-03,2025-12,4095,2025-11-03,2025-11,Paid Search,Bengaluru,P101,Electronics,1,1999.0,299.85,1699.15,60.0,33.98,1200.0,405.1700000000001,15.0
ORD-000087,2025-06-07,2025-06,3808,2024-10-19,2024-10,Paid Search,Hyderabad,P105,Home & Kitchen,1,999.0,249.75,749.25,100.0,14.98,400.0,234.27,25.0
ORD-000088,2026-07-23,2026-07,8583,2026-06-15,2026-06,Paid Search,Hyderabad,P106,Beauty & Grooming,1,499.0,124.75,374.25,60.0,7.48,150.0,156.77,25.0
ORD-000089,2024-09-24,2024-09,10013,2024-09-15,2024-09,Paid Search,Mumbai,P101,Electronics,3,5997.0,1499.25,4497.75,60.0,89.96,3600.0,747.79,25.0
ORD-000090,2025-11-02,2025-11,1888,2025-10-13,2025-10,Paid Search,Mumbai,P107,Beauty & Grooming,1,699.0,174.75,524.25,60.0,10.48,250.0,203.77,25.0
ORD-000091,2026-06-03,2026-06,7016,2026-04-30,2026-04,Organic Search,Bengaluru,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000092,2026-05-17,2026-05,6425,2026-02-25,2026-02,Meta Ads,Pune,P101,Electronics,1,1999.0,299.85,1699.15,80.0,33.98,1200.0,385.1700000000001,15.0
ORD-000093,2026-07-24,2026-07,4994,2026-06-25,2026-06,Paid Search,Pune,P105,Home & Kitchen,1,999.0,149.85,849.15,80.0,16.98,400.0,352.16999999999996,15.0
ORD-000094,2025-02-27,2025-02,4085,2024-12-17,2024-12,Organic Search,Delhi NCR,P101,Electronics,2,3998.0,0.0,3998.0,80.0,79.96,2400.0,1438.04,0.0
ORD-000095,2025-10-17,2025-10,1876,2025-10-10,2025-10,Paid Search,Mumbai,P102,Electronics,2,1598.0,0.0,1598.0,60.0,31.96,900.0,606.04,0.0
ORD-000096,2024-10-27,2024-10,6270,2024-10-06,2024-10,Paid Search,Bengaluru,P104,Fashion,1,1499.0,524.65,974.35,60.0,19.49,600.0,294.86,35.0
ORD-000097,2024-12-23,2024-12,8509,2024-11-21,2024-11,Organic Search,Hyderabad,P106,Beauty & Grooming,2,998.0,0.0,998.0,80.0,19.96,300.0,598.04,0.0
ORD-000098,2026-01-13,2026-01,4997,2026-01-12,2026-01,Paid Search,Hyderabad,P107,Beauty & Grooming,1,699.0,0.0,699.0,100.0,13.98,250.0,335.02,0.0
ORD-000099,2026-04-20,2026-04,1557,2026-02-15,2026-02,Paid Search,Pune,P106,Beauty & Grooming,2,998.0,0.0,998.0,100.0,19.96,300.0,578.04,0.0
ORD-000100,2025-03-04,2025-03,6294,2024-12-14,2024-12,Paid Search,Delhi NCR,P101,Electronics,1,1999.0,499.75,1499.25,100.0,29.98,1200.0,169.27,25.0
ORD-000101,2024-12-28,2024-12,9901,2024-12-11,2024-12,Meta Ads,Delhi NCR,P104,Fashion,1,1499.0,224.85,1274.15,100.0,25.48,600.0,548.6700000000001,15.0
ORD-000102,2025-02-15,2025-02,1718,2024-09-26,2024-09,Email Referral,Mumbai,P104,Fashion,3,4497.0,224.85,4272.15,60.0,85.44,1800.0,2326.7099999999996,5.0
ORD-000103,2025-05-27,2025-05,4666,2025-03-29,2025-03,Meta Ads,Pune,P106,Beauty & Grooming,1,499.0,74.85,424.15,60.0,8.48,150.0,205.67,15.0
ORD-000104,2025-05-27,2025-05,7548,2025-03-09,2025-03,Meta Ads,Delhi NCR,P104,Fashion,2,2998.0,749.5,2248.5,80.0,44.97,1200.0,923.53,25.0
ORD-000105,2025-08-11,2025-08,6197,2025-06-25,2025-06,Organic Search,Delhi NCR,P102,Electronics,1,799.0,0.0,799.0,60.0,15.98,450.0,273.02,0.0
ORD-000106,2026-04-24,2026-04,3020,2026-02-07,2026-02,Organic Search,Bengaluru,P104,Fashion,1,1499.0,0.0,1499.0,60.0,29.98,600.0,809.02,0.0
ORD-000108,2026-07-11,2026-07,3184,2026-04-17,2026-04,Paid Search,Delhi NCR,P101,Electronics,1,1999.0,499.75,1499.25,60.0,29.98,1200.0,209.27,25.0
ORD-000109,2025-09-04,2025-09,4880,2025-08-07,2025-08,Paid Search,Hyderabad,P106,Beauty & Grooming,2,998.0,0.0,998.0,100.0,19.96,300.0,578.04,0.0
ORD-000110,2026-02-24,2026-02,3937,2026-01-10,2026-01,Organic Search,Bengaluru,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
ORD-000111,2026-06-04,2026-06,7692,2026-04-26,2026-04,Paid Search,Delhi NCR,P102,Electronics,2,1598.0,0.0,1598.0,80.0,31.96,900.0,586.04,0.0
ORD-000112,2025-06-06,2025-06,8046,2025-05-06,2025-05,Meta Ads,Bengaluru,P106,Beauty & Grooming,2,998.0,349.3,648.7,100.0,12.97,300.0,235.73000000000005,35.0
ORD-000113,2024-11-17,2024-11,3814,2024-09-12,2024-09,Paid Search,Delhi NCR,P104,Fashion,2,2998.0,749.5,2248.5,60.0,44.97,1200.0,943.53,25.0
ORD-000114,2025-09-14,2025-09,2238,2025-08-20,2025-08,Meta Ads,Mumbai,P101,Electronics,1,1999.0,499.75,1499.25,80.0,29.98,1200.0,189.27,25.0
ORD-000115,2025-04-30,2025-04,5842,2025-04-14,2025-04,Email Referral,Pune,P102,Electronics,1,799.0,0.0,799.0,60.0,15.98,450.0,273.02,0.0
ORD-000116,2025-02-11,2025-02,4044,2025-02-10,2025-02,Meta Ads,Bengaluru,P103,Fashion,1,899.0,224.75,674.25,100.0,13.48,300.0,260.77,25.0
ORD-000117,2025-09-05,2025-09,7473,2025-09-01,2025-09,Organic Search,Delhi NCR,P103,Fashion,2,1798.0,89.9,1708.1,60.0,34.16,600.0,1013.9399999999999,5.0
ORD-000118,2024-10-02,2024-10,4088,2024-09-21,2024-09,Paid Search,Delhi NCR,P101,Electronics,1,1999.0,699.65,1299.35,80.0,25.99,1200.0,-6.640000000000089,35.0
ORD-000119,2026-03-18,2026-03,4559,2026-03-11,2026-03,Paid Search,Mumbai,P105,Home & Kitchen,1,999.0,149.85,849.15,60.0,16.98,400.0,372.16999999999996,15.0
ORD-000120,2024-12-15,2024-12,6294,2024-12-14,2024-12,Paid Search,Delhi NCR,P104,Fashion,1,1499.0,374.75,1124.25,80.0,22.48,600.0,421.77,25.0
ORD-000121,2025-11-03,2025-11,9891,2025-09-11,2025-09,Paid Search,Bengaluru,P106,Beauty & Grooming,1,499.0,124.75,374.25,60.0,7.48,150.0,156.77,25.0
ORD-000122,2026-06-24,2026-06,3854,2026-04-21,2026-04,Influencer,Mumbai,P105,Home & Kitchen,1,999.0,49.95,949.05,100.0,18.98,400.0,430.06999999999994,5.0
ORD-000123,2026-03-03,2026-03,2846,2026-02-12,2026-02,Paid Search,Hyderabad,P102,Electronics,2,1598.0,399.5,1198.5,80.0,23.97,900.0,194.53,25.0
ORD-000124,2026-08-01,2026-08,7363,2026-01-21,2026-01,Paid Search,Bengaluru,P104,Fashion,1,1499.0,524.65,974.35,80.0,19.49,600.0,274.86,35.0
ORD-000125,2025-01-10,2025-01,7657,2024-12-02,2024-12,Paid Search,Mumbai,P106,Beauty & Grooming,1,499.0,124.75,374.25,100.0,7.48,150.0,116.77,25.0
ORD-000126,2025-12-27,2025-12,8567,2025-12-23,2025-12,Influencer,Bengaluru,P106,Beauty & Grooming,3,1497.0,0.0,1497.0,80.0,29.94,450.0,937.06,0.0
ORD-000127,2025-02-07,2025-02,4183,2025-01-18,2025-01,Paid Search,Delhi NCR,P106,Beauty & Grooming,2,998.0,149.7,848.3,60.0,16.97,300.0,471.3299999999999,15.0
ORD-000128,2025-11-03,2025-11,1464,2025-09-25,2025-09,Meta Ads,Delhi NCR,P105,Home & Kitchen,1,999.0,349.65,649.35,80.0,12.99,400.0,156.36,35.0
ORD-000129,2026-06-08,2026-06,4861,2026-01-19,2026-01,Influencer,Delhi NCR,P107,Beauty & Grooming,1,699.0,69.9,629.1,100.0,12.58,250.0,266.52000000000004,10.0
ORD-000130,2025-12-23,2025-12,6761,2025-11-02,2025-11,Organic Search,Hyderabad,P101,Electronics,1,1999.0,0.0,1999.0,60.0,39.98,1200.0,699.02,0.0
ORD-000131,2024-10-28,2024-10,8261,2024-10-28,2024-10,Paid Search,Hyderabad,P102,Electronics,1,799.0,119.85,679.15,60.0,13.58,450.0,155.56999999999996,15.0
ORD-000132,2026-06-13,2026-06,1451,2026-04-25,2026-04,Organic Search,Bengaluru,P104,Fashion,2,2998.0,0.0,2998.0,60.0,59.96,1200.0,1678.04,0.0
ORD-000133,2026-05-21,2026-05,2916,2026-04-04,2026-04,Organic Search,Mumbai,P103,Fashion,1,899.0,0.0,899.0,100.0,17.98,300.0,481.02,0.0
ORD-000134,2025-05-09,2025-05,10116,2025-02-09,2025-02,Meta Ads,Mumbai,P106,Beauty & Grooming,1,499.0,0.0,499.0,60.0,9.98,150.0,279.02,0.0
ORD-000135,2026-07-02,2026-07,4623,2026-06-26,2026-06,Paid Search,Pune,P106,Beauty & Grooming,1,499.0,174.65,324.35,60.0,6.49,150.0,107.86000000000003,35.0
ORD-000136,2025-07-14,2025-07,8077,2025-05-01,2025-05,Meta Ads,Delhi NCR,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
ORD-000138,2026-03-26,2026-03,5767,2026-01-13,2026-01,Influencer,Pune,P102,Electronics,1,799.0,39.95,759.05,80.0,15.18,450.0,213.86999999999995,5.0
ORD-000139,2025-01-26,2025-01,5794,2025-01-03,2025-01,Paid Search,Bengaluru,P103,Fashion,1,899.0,134.85,764.15,60.0,15.28,300.0,388.87,15.0
ORD-000140,2025-08-15,2025-08,2377,2025-06-24,2025-06,Meta Ads,Hyderabad,P101,Electronics,1,1999.0,699.65,1299.35,80.0,25.99,1200.0,-6.640000000000089,35.0
ORD-000141,2025-01-17,2025-01,3816,2024-11-02,2024-11,Organic Search,Mumbai,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
ORD-000143,2025-10-26,2025-10,10320,2025-10-08,2025-10,Organic Search,Pune,P105,Home & Kitchen,1,999.0,0.0,999.0,100.0,19.98,400.0,479.02,0.0
ORD-000144,2026-04-28,2026-04,3926,2026-04-18,2026-04,Influencer,Bengaluru,P107,Beauty & Grooming,1,699.0,34.95,664.05,100.0,13.28,250.0,300.77,5.0
ORD-000145,2025-01-07,2025-01,10245,2024-11-05,2024-11,Meta Ads,Hyderabad,P107,Beauty & Grooming,1,699.0,244.65,454.35,60.0,9.09,250.0,135.26000000000002,35.0
ORD-000146,2026-01-03,2026-01,4469,2025-12-30,2025-12,Influencer,Delhi NCR,P101,Electronics,1,1999.0,99.95,1899.05,80.0,37.98,1200.0,581.0699999999999,5.0
ORD-000147,2024-11-23,2024-11,5022,2024-10-17,2024-10,Paid Search,Delhi NCR,P107,Beauty & Grooming,3,2097.0,0.0,2097.0,100.0,41.94,750.0,1205.06,0.0
ORD-000148,2025-08-02,2025-08,5410,2025-05-06,2025-05,Meta Ads,Delhi NCR,P102,Electronics,1,799.0,199.75,599.25,60.0,11.98,450.0,77.27,25.0
ORD-000149,2024-12-22,2024-12,1548,2024-12-11,2024-12,Organic Search,Mumbai,P101,Electronics,1,1999.0,99.95,1899.05,100.0,37.98,1200.0,561.0699999999999,5.0
ORD-000150,2025-08-09,2025-08,5892,2025-07-18,2025-07,Paid Search,Mumbai,P102,Electronics,1,799.0,119.85,679.15,60.0,13.58,450.0,155.56999999999996,15.0
ORD-000151,2026-03-31,2026-03,4524,2026-01-12,2026-01,Paid Search,Pune,P103,Fashion,1,899.0,0.0,899.0,60.0,17.98,300.0,521.02,0.0
ORD-000152,2026-02-25,2026-02,8043,2026-01-25,2026-01,Organic Search,Bengaluru,P102,Electronics,1,799.0,0.0,799.0,80.0,15.98,450.0,253.02,0.0
ORD-000153,2025-01-27,2025-01,10722,2025-01-19,2025-01,Meta Ads,Pune,P103,Fashion,1,899.0,224.75,674.25,100.0,13.48,300.0,260.77,25.0
ORD-000154,2025-12-06,2025-12,6606,2025-12-03,2025-12,Meta Ads,Pune,P104,Fashion,1,1499.0,0.0,1499.0,80.0,29.98,600.0,789.02,0.0
